"","Pathogen","age_name","year","val","proportion"
"313","Citrobacter spp.","Neonatal",2020,3137.18217062705,22.7392542681351
"314","Citrobacter spp.","5 to 49",2020,1309.97914458714,9.4951288240833
"315","Citrobacter spp.","Post neonatal to 5",2020,424.238941042786,3.07501338020421
"316","Citrobacter spp.","70+ years",2021,5569.29172347445,37.4492457919666
"317","Citrobacter spp.","50 to 69",2021,4104.14630771942,27.5972585878643
"318","Citrobacter spp.","Neonatal",2021,3320.88120159527,22.3303972101639
"319","Citrobacter spp.","5 to 49",2021,1451.90621498346,9.76296366064279
"320","Citrobacter spp.","Post neonatal to 5",2021,425.347011689689,2.8601347493624
"321","Enterobacter spp.","Neonatal",1990,6759.1638055045,31.3412947479931
"322","Enterobacter spp.","70+ years",1990,6283.59561584232,29.1361517400911
"323","Enterobacter spp.","50 to 69",1990,5465.57966227605,25.3431264714326
"324","Enterobacter spp.","5 to 49",1990,1877.22691197546,8.70443795269087
"325","Enterobacter spp.","Post neonatal to 5",1990,1180.75364707477,5.47498908779235
"326","Enterobacter spp.","Neonatal",1991,6741.94528107793,30.8113836749699
"327","Enterobacter spp.","70+ years",1991,6463.23563680306,29.5376519216481
"328","Enterobacter spp.","50 to 69",1991,5587.78182607607,25.5367379231721
"329","Enterobacter spp.","5 to 49",1991,1918.89874775522,8.76956473029288
"330","Enterobacter spp.","Post neonatal to 5",1991,1169.48389737792,5.34466174991695
"331","Enterobacter spp.","70+ years",1992,6786.67844366278,30.3095256450839
"332","Enterobacter spp.","Neonatal",1992,6697.39839454401,29.9107980553178
"333","Enterobacter spp.","50 to 69",1992,5779.74037647552,25.8125076378551
"334","Enterobacter spp.","5 to 49",1992,1972.595209346,8.80967406682885
"335","Enterobacter spp.","Post neonatal to 5",1992,1154.8269610181,5.15749459491435
"336","Enterobacter spp.","70+ years",1993,7091.99534594999,30.8769452355701
"337","Enterobacter spp.","Neonatal",1993,6708.03214899134,29.2052562359803
"338","Enterobacter spp.","50 to 69",1993,5986.3131189819,26.0630546582824
"339","Enterobacter spp.","5 to 49",1993,2039.22597751259,8.87832912447771
"340","Enterobacter spp.","Post neonatal to 5",1993,1143.01171785897,4.97641474568943
"341","Enterobacter spp.","70+ years",1994,7484.94091283125,31.5039178951696
"342","Enterobacter spp.","Neonatal",1994,6714.44370472366,28.2609155701857
"343","Enterobacter spp.","50 to 69",1994,6229.0011325972,26.2177006519657
"344","Enterobacter spp.","5 to 49",1994,2202.70503042718,9.27112708490385
"345","Enterobacter spp.","Post neonatal to 5",1994,1127.67134461942,4.74633879777517
"346","Enterobacter spp.","70+ years",1995,7882.38298311886,32.3488459405894
"347","Enterobacter spp.","Neonatal",1995,6746.19503505919,27.6859960168987
"348","Enterobacter spp.","50 to 69",1995,6390.24714058113,26.2252063513866
"349","Enterobacter spp.","5 to 49",1995,2209.90682987351,9.0693303961169
"350","Enterobacter spp.","Post neonatal to 5",1995,1138.08158362066,4.67062129500837
"351","Enterobacter spp.","70+ years",1996,8133.5273605219,32.6082457301736
"352","Enterobacter spp.","Neonatal",1996,6823.715513094,27.3570595365267
"353","Enterobacter spp.","50 to 69",1996,6560.15799877475,26.3004271788771
"354","Enterobacter spp.","5 to 49",1996,2292.62399830605,9.19139303157881
